Person1Id,Person2Id,StartTime,EndTime
490,636,1583053278,1583054718
304,33,1583053994,1583054714
681,318,1583054335,1583055235
90,65,1583054338,1583054518
538,272,1583054796,1583055936
517,73,1583054870,1583055170
526,626,1583055161,1583056241
211,39,1583055307,1583055967
381,584,1583055729,1583056509
556,328,1583056242,1583056722
316,562,1583056664,1583057564
586,244,1583056862,1583057102
213,476,1583057071,1583058151
503,719,1583057167,1583058427
498,246,1583057832,1583058732
614,259,1583057776,1583058436
673,55,1583058151,1583058811
69,573,1583058766,1583058826
94,32,1583058830,1583060450
279,277,1583059147,1583059747
136,23,1583059693,1583061253
123,139,1583060061,1583060601
30,37,1583059985,1583060225
18,308,1583060585,1583061485
640,711,1583060997,1583061057
586,436,1583061133,1583061853
701,631,1583061327,1583061687
286,676,1583061662,1583062802
703,79,1583062018,1583062798
358,738,1583061943,1583062183
676,110,1583062503,1583063583
31,534,1583062617,1583064297
113,315,1583063120,1583064500
688,292,1583063324,1583063684
74,140,1583063437,1583065177
90,645,1583063730,1583063790
407,258,1583064176,1583064656
674,255,1583064889,1583066389
417,468,1583065141,1583066581
307,437,1583065477,1583066017
452,569,1583065343,1583065463
126,434,1583065774,1583067334
563,623,1583065916,1583067176
34,389,1583066267,1583068067
315,271,1583066400,1583066760
154,183,1583066909,1583068469
241,654,1583067286,1583068546
295,594,1583067883,1583068663
519,645,1583067697,1583067877
396,362,1583068475,1583069075
204,737,1583068479,1583069079
272,29,1583068909,1583070709
14,355,1583069048,1583069828
570,84,1583069174,1583069834
504,322,1583069404,1583070724
86,218,1583070264,1583072064
131,431,1583070543,1583072223
2,343,1583070820,1583071120
58,727,1583071183,1583072323
59,8,1583070944,1583071724
474,315,1583071488,1583072748
603,41,1583072048,1583073008
554,117,1583072054,1583073494
554,437,1583072411,1583072771
401,419,1583072762,1583074382
268,225,1583072713,1583073373
423,491,1583073177,1583073237
488,738,1583073441,1583075061
695,701,1583074123,1583075623
259,651,1583074173,1583075973
351,576,1583074702,1583075482
693,500,1583075087,1583076767
430,681,1583075174,1583075234
38,700,1583075357,1583076917
583,213,1583075456,1583075516
339,115,1583076034,1583077174
404,156,1583076562,1583076982
296,198,1583076888,1583077368
345,534,1583076784,1583076964
613,178,1583077058,1583077178
101,197,1583077540,1583077900
357,708,1583077646,1583078666
170,187,1583078313,1583078853
550,9,1583078691,1583080191
550,227,1583078707,1583078827
542,493,1583079084,1583079744
538,132,1583079181,1583079781
558,82,1583079537,1583080677
174,494,1583079981,1583081121
381,720,1583080369,1583081749
143,600,1583080479,1583081859
412,662,1583080738,1583081458
82,455,1583081247,1583082867
668,678,1583081542,1583083222
147,144,1583081682,1583081802
491,390,1583081933,1583082593
547,387,1583082360,1583083140
659,23,1583082707,1583082947
137,126,1583083146,1583083506
290,17,1583083236,1583084616
220,100,1583083238,1583084918
349,117,1583083954,1583085034
620,269,1583084184,1583084364
103,370,1583084387,1583085467
477,412,1583084653,1583084953
488,388,1583084769,1583085669
647,627,1583085446,1583085626
554,420,1583085849,1583086929
309,670,1583085846,1583087466
170,222,1583086156,1583087116
32,295,1583086521,1583087661
13,0,1583086629,1583086689
534,696,1583086842,1583088282
509,493,1583087463,1583087583
616,458,1583087756,1583088536
630,498,1583088003,1583088603
710,411,1583088407,1583090207
220,549,1583088453,1583089773
295,86,1583088658,1583090218
195,97,1583088903,1583089023
704,104,1583089501,1583089921
705,294,1583090056,1583090836
317,553,1583090018,1583091398
532,521,1583090369,1583091449
185,12,1583090588,1583091308
360,749,1583090755,1583091775
634,273,1583091268,1583091628
285,112,1583091504,1583092524
242,253,1583091790,1583092750
261,262,1583091980,1583092040
102,233,1583092208,1583093948
240,705,1583092897,1583094097
130,90,1583092902,1583093442
380,505,1583093397,1583093817
562,432,1583093735,1583094695
691,431,1583093924,1583095544
297,731,1583094153,1583094573
107,604,1583094766,1583095906
286,62,1583094647,1583095847
470,333,1583095249,1583096629
292,281,1583095753,1583097013
227,411,1583095569,1583097069
366,409,1583095971,1583097651
263,604,1583096181,1583096601
646,502,1583096670,1583098470
210,170,1583097061,1583097781
509,270,1583097439,1583097559
96,450,1583097789,1583099409
104,424,1583097947,1583098847
181,284,1583098318,1583099998
3,606,1583098456,1583098516
223,330,1583098529,1583099429
550,261,1583098821,1583100201
571,314,1583099497,1583100517
610,86,1583099462,1583100422
169,298,1583100190,1583100850
247,527,1583100065,1583100905
728,240,1583100801,1583101221
63,493,1583101013,1583101073
607,270,1583101460,1583102840
443,523,1583101714,1583101954
503,74,1583102075,1583102555
237,365,1583102267,1583103347
151,266,1583102537,1583103197
273,83,1583102441,1583103221
199,637,1583103118,1583104918
730,733,1583103537,1583104317
85,17,1583103566,1583104826
251,619,1583104151,1583104751
332,368,1583104329,1583105109
208,575,1583104752,1583105292
644,560,1583105050,1583105170
603,370,1583105269,1583106949
130,536,1583105261,1583106161
472,223,1583105736,1583106636
204,304,1583106097,1583107717
370,224,1583106277,1583107957
747,129,1583106399,1583106579
186,8,1583107150,1583107690
580,714,1583107476,1583108856
746,460,1583107663,1583107903
346,642,1583107529,1583107889
176,50,1583107924,1583109364
8,155,1583108481,1583109261
541,61,1583108638,1583108818
481,243,1583109028,1583109988
323,69,1583109466,1583110726
212,45,1583109782,1583110802
402,332,1583110007,1583111387
677,360,1583110185,1583111505
151,725,1583110382,1583111822
155,307,1583111004,1583112564
730,209,1583111242,1583112922
705,746,1583111234,1583112134
240,745,1583111849,1583113529
25,707,1583111766,1583112186
151,210,1583112105,1583113065
314,230,1583112557,1583114357
736,470,1583113110,1583113350
131,288,1583113216,1583114416
55,145,1583113492,1583113912
469,3,1583113583,1583115383
300,665,1583114373,1583114613
193,546,1583114384,1583115644
217,62,1583114769,1583115129
343,624,1583115253,1583115493
19,204,1583115007,1583116507
336,710,1583115602,1583116982
